# k [h/Mpc]  P(k) - Rupture
1.000000000000000048e-04 6.522037292007705673e+02
1.047370897959449686e-04 6.778328141099439108e+02
1.096985797892383675e-04 7.044976675699614361e+02
1.148951000187309178e-04 7.322410289473324383e+02
1.203377840777589472e-04 7.611074780418061891e+02
1.260382929679727457e-04 7.911435558899810303e+02
1.320088400831417777e-04 8.223977137026488435e+02
1.382622173764655948e-04 8.549202857850274313e+02
1.448118227674533498e-04 8.887636958215789491e+02
1.516716888470922740e-04 9.239825874625759070e+02
1.588565129428052810e-04 9.606338935098247021e+02
1.663816886076128847e-04 9.987768999951149453e+02
1.742633386009649968e-04 1.038473345536100851e+03
1.825183494319043405e-04 1.079787401738787366e+03
1.911644075385702070e-04 1.122785832283175068e+03
2.002200371815584276e-04 1.167538224410024441e+03
2.097046401323232167e-04 1.214117090570123310e+03
2.196385372416545924e-04 1.262597740085350779e+03
2.300430119772917776e-04 1.313058345276148884e+03
2.409403560239524868e-04 1.365580292606714465e+03
2.523539170434766117e-04 1.420248347231198750e+03
2.643081486974104954e-04 1.477150603419996514e+03
2.768286630392065599e-04 1.536378405266754953e+03
2.899422853882876647e-04 1.598026676464185357e+03
3.036771118035457777e-04 1.662193986798414016e+03
3.180625692794118915e-04 1.728982740206279914e+03
3.331294787934673180e-04 1.798499118337122127e+03
3.489101213406771624e-04 1.870853331280226939e+03
3.654383070957255785e-04 1.946159553986141646e+03
3.827494478516312048e-04 2.024536169148568888e+03
4.008806328898464845e-04 2.106105795572447732e+03
4.198707084443908553e-04 2.190995450922663167e+03
4.397603609302718668e-04 2.279336368681609201e+03
4.605922041145105693e-04 2.371264028716122539e+03
4.824108704165368721e-04 2.466918650614918079e+03
5.052631065335679277e-04 2.566445279534018937e+03
5.291978735958440157e-04 2.669993645730462049e+03
5.542664520663104742e-04 2.777717709107315386e+03
5.805225516094897299e-04 2.889776304171218726e+03
6.080224261649421489e-04 3.006332937975846562e+03
6.368249944718586218e-04 3.127556101059365119e+03
6.669919663030119154e-04 3.253618726598273042e+03
6.985879746785244931e-04 3.384698573806451805e+03
7.316807143427194859e-04 3.520977263055071035e+03
7.663410868007456550e-04 3.662640802079776222e+03
8.026433522257172539e-04 3.809879663488157348e+03
8.406652885618322952e-04 3.962888817367528645e+03
8.804883581643459635e-04 4.121866551209536738e+03
9.221978823334323712e-04 4.287014106791132690e+03
9.658832241158701306e-04 4.458535915145313083e+03
1.011637979766206877e-03 4.636638831818627295e+03
1.059560179277615295e-03 4.821531795118645277e+03
1.109752496412071696e-03 5.013423722035344326e+03
1.162322468679852228e-03 5.212524875076384888e+03
1.217382727739660777e-03 5.419045076972278366e+03
1.275051240713012809e-03 5.633194060370527041e+03
1.335451562929898311e-03 5.855177633181751844e+03
1.398713102647237494e-03 6.085199211031606865e+03
1.464971398307285183e-03 6.323457347563186886e+03
1.534368408930011527e-03 6.570146101122014443e+03
1.607052818261638658e-03 6.825452045642291523e+03
1.683180353330956123e-03 7.089553866584452408e+03
1.762914118095946624e-03 7.362619640050348607e+03
1.846424942895543049e-03 7.644805085380117816e+03
1.933891750455229942e-03 7.936252843053967808e+03
2.025501939230665762e-03 8.237089377600104854e+03
2.121451784910629440e-03 8.547424697370655849e+03
2.221946860939522182e-03 8.867347671158511730e+03
2.327202478960407363e-03 9.196927201654620148e+03
2.437444150122219325e-03 9.536207311350313830e+03
2.552908068239516035e-03 9.885207553542199093e+03
2.673841615839946031e-03 1.024391616380200685e+04
2.800503894183629678e-03 1.061229120636659172e+04
2.933166278390042427e-03 1.099025345774345624e+04
3.072112998861756435e-03 1.137768703562834889e+04
3.217641750250735053e-03 1.177443351926005380e+04
3.370064329271926437e-03 1.218029094198933672e+04
3.529707302730648259e-03 1.259500869208439144e+04
3.696912707195024878e-03 1.301828435822028223e+04
3.872038781812552587e-03 1.344975852087520616e+04
4.055460735840826954e-03 1.388900749608852675e+04
4.247571552536896777e-03 1.433554710008811162e+04
4.448782831127581772e-03 1.478882503106190961e+04
4.659525668664678613e-03 1.524822325165400616e+04
4.880251583654427253e-03 1.571304740252850024e+04
5.111433483440164932e-03 1.618252190284965764e+04
5.353566677410721841e-03 1.665573863227308175e+04
5.607169938205453820e-03 1.713170705233756962e+04
5.872786613189478859e-03 1.760945390122944082e+04
6.150985788580495481e-03 1.808795735743521800e+04
6.442363508721367545e-03 1.856583907590822128e+04
6.747544053110689742e-03 1.904144100539090505e+04
7.067181273927488835e-03 1.951312828913975318e+04
7.401959996915636469e-03 1.997930364349801675e+04
7.752597488629456302e-03 2.043830870741467879e+04
8.119844993184008319e-03 2.088842838719859719e+04
8.504489341802669994e-03 2.132777993433051233e+04
8.907354638610434638e-03 2.175420098626675463e+04
9.329304026284681098e-03 2.216539720799361385e+04
9.771241535346487581e-03 2.255890228795320945e+04
1.023411402105452346e-02 2.293215546254332003e+04
1.071891319205127251e-02 2.328246735521842857e+04
1.122667773510812282e-02 2.360708127743651130e+04
1.175849554052155882e-02 2.390311520882607147e+04
1.231550603292825077e-02 2.416763426456915113e+04
1.289890261253307316e-02 2.439755632961754964e+04
1.350993521198025869e-02 2.458974190786431063e+04
1.414991297434575052e-02 2.474102958767722157e+04
1.482020705798856725e-02 2.484828454837625395e+04
1.552225357427046079e-02 2.490844021413770315e+04
1.625755666443793115e-02 2.491851388991390922e+04
1.702769172225897937e-02 2.487573489693918964e+04
1.783430876931907730e-02 2.477755103394368416e+04
1.867913599020781107e-02 2.462178494951606626e+04
1.956398343517061489e-02 2.440668112611720426e+04
